epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,94.0354,0.3817,0.87348,1,0.23056,0.000474253,0.000474253,0.000474253
2,190.732,0.15035,0.93241,1,0.2191,0.000903533,0.000903533,0.000903533
3,284.468,0.12605,0.7747,1,0.66113,0.00128565,0.00128565,0.00128565
4,377.59,0.13969,1,1,0.03811,0.00121679,0.00121679,0.00121679
5,470.475,0.12391,1,1,0.01731,0.00114606,0.00114606,0.00114606
6,563.081,0.07547,1,1,0.01692,0.00107532,0.00107532,0.00107532
7,655.708,0.06072,0.94801,1,0.12359,0.00100459,0.00100459,0.00100459
8,748.527,0.05912,1,1,0.03015,0.000933851,0.000933851,0.000933851
9,841.212,0.0439,0.9948,1,0.01611,0.000863116,0.000863116,0.000863116
10,934.479,0.03782,1,1,0.00734,0.00079238,0.00079238,0.00079238
11,1026.84,0.03076,1,1,0.01546,0.000721645,0.000721645,0.000721645
12,1118.15,0.03253,0.9948,1,0.02362,0.000650909,0.000650909,0.000650909
13,1211.08,0.03675,1,1,0.01535,0.000580174,0.000580174,0.000580174
14,1306.53,0.02428,0.99653,1,0.01756,0.000509438,0.000509438,0.000509438
15,1401.35,0.02732,0.98614,1,0.04017,0.000438703,0.000438703,0.000438703
16,1495.65,0.02194,1,1,0.00901,0.000367967,0.000367967,0.000367967
17,1587.66,0.01734,1,1,0.00581,0.000297232,0.000297232,0.000297232
18,1679.42,0.02167,1,1,0.00691,0.000226497,0.000226497,0.000226497
19,1772.76,0.01332,1,1,0.0065,0.000155761,0.000155761,0.000155761
20,1864.45,0.01327,1,1,0.00433,8.50255e-05,8.50255e-05,8.50255e-05
